Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,serverName,returnerName,Position,pointEndPosition,Duration,isBreakPoint,clientTeam,opponentTeam
"Set 1: 0-0, 0-0 Rudy Quan Serving",1,1,1,Rudy Quan,Yuta Shimizu,0-0,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,False,UCLA,
"Set 1: 0-0, 15-0 Rudy Quan Serving",2,1,1,Rudy Quan,Yuta Shimizu,15-0,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,False,UCLA,
"Set 1: 0-0, 15-15 Rudy Quan Serving",3,1,1,Rudy Quan,Yuta Shimizu,15-15,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,False,UCLA,
"Set 1: 0-0, 30-15 Rudy Quan Serving",4,1,1,Rudy Quan,Yuta Shimizu,30-15,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,False,UCLA,
"Set 1: 0-0, 30-30 Rudy Quan Serving",5,1,1,Rudy Quan,Yuta Shimizu,30-30,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,False,UCLA,
"Set 1: 0-0, 40-30 Rudy Quan Serving",6,1,1,Rudy Quan,Yuta Shimizu,40-30,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,False,UCLA,
"Set 1: 0-0, 40-40 Rudy Quan Serving",7,1,1,Rudy Quan,Yuta Shimizu,40-40,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,False,UCLA,
"Set 1: 0-0, 40-A Rudy Quan Serving",8,1,1,Rudy Quan,Yuta Shimizu,40-A,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,True,UCLA,
"Set 1: 0-0, 40-40 Rudy Quan Serving",9,1,1,Rudy Quan,Yuta Shimizu,40-40,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,False,UCLA,
"Set 1: 0-0, A-40 Rudy Quan Serving",10,1,1,Rudy Quan,Yuta Shimizu,A-40,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,False,UCLA,
"Set 1: 0-0, 40-40 Rudy Quan Serving",11,1,1,Rudy Quan,Yuta Shimizu,40-40,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,False,UCLA,
"Set 1: 0-0, A-40 Rudy Quan Serving",12,1,1,Rudy Quan,Yuta Shimizu,A-40,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,False,UCLA,
"Set 1: 0-0, 40-40 Rudy Quan Serving",13,1,1,Rudy Quan,Yuta Shimizu,40-40,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,False,UCLA,
"Set 1: 0-0, A-40 Rudy Quan Serving",14,1,1,Rudy Quan,Yuta Shimizu,A-40,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,False,UCLA,
"Set 1: 0-0, 40-40 Rudy Quan Serving",15,1,1,Rudy Quan,Yuta Shimizu,40-40,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,False,UCLA,
"Set 1: 0-0, A-40 Rudy Quan Serving",16,1,1,Rudy Quan,Yuta Shimizu,A-40,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,False,UCLA,
"Set 1: 0-0, 40-40 Rudy Quan Serving",17,1,1,Rudy Quan,Yuta Shimizu,40-40,0-0,0-0,,Rudy Quan,Yuta Shimizu,,,,False,UCLA,
