Date,Round,Player 1,Player 2,Score,Tournament,1st_serve_percentage_player1,1st_serve_percentage_player2,1st_serve_points_won_player1,1st_serve_points_won_player2,2nd_serve_points_won_player1,2nd_serve_points_won_player2,break_points_won_player1,break_points_won_player2,total_return_points_won_player1,total_return_points_won_player2,total_points_won_player1,total_points_won_player2,double_faults_player1,double_faults_player2,aces_player1,aces_player2
2019-01-02,2nd round,Ernests Gulbis,Hyeon Chung,"7-62, 6-2",Pune,32/63,35/62,23/32,16/35,16/31,15/27,5/8,3/4,31/62,24/63,70/125,55/125,1,3,8,0
2019-01-08,1st round,Jose Statham,Hyeon Chung,"7-5, 6-3",Auckland,39/63,36/58,29/39,27/36,12/24,6/22,4/6,2/4,25/58,22/63,66/121,55/121,5,1,2,2
2019-01-15,1st round,Hyeon Chung,Bradley Klahn,"6-75, 6-75, 6-3, 6-2, 6-4",Melbourne,101/145,105/164,81/101,75/105,29/44,35/59,6/14,1/2,50/164,33/145,164/309,145/309,2,4,10,22
2019-01-17,2nd round,Pierre-Hugues Herbert,Hyeon Chung,"6-2, 1-6, 6-2, 6-4",Melbourne,62/96,60/94,49/62,37/60,16/34,20/34,5/11,3/3,36/94,28/96,102/190,88/190,3,1,13,2
2019-02-11,1st round,Nikoloz Basilashvili,Hyeon Chung,"4-6, 7-61, 6-2",Rotterdam,54/119,54/89,40/54,37/54,31/65,17/35,5/11,4/9,35/89,48/119,106/208,102/208,9,0,15,3
2019-07-30,2nd round,Hyeon Chung,Kento Takeuchi,"6-3, 6-2",Chengdu Challenger,33/52,38/58,29/33,21/38,8/19,8/20,4/12,1/2,29/58,15/52,66/110,44/110,5,2,6,6
2019-08-01,3rd round,Hyeon Chung,Di Wu,"7-64, 6-76, 6-3",Chengdu Challenger,70/116,62/115,51/70,44/62,25/46,30/53,4/6,2/12,41/115,40/116,117/231,114/231,2,3,10,5
2019-08-02,1/4,Hyeon Chung,Ji Sung Nam,"7-62, 1-6, 6-3",Chengdu Challenger,61/94,58/99,48/61,41/58,15/33,24/41,1/5,2/5,34/99,31/94,97/193,96/193,2,1,4,7
2019-08-03,1/2,Hyeon Chung,Tatsuma Ito,"6-2, 7-64",Chengdu Challenger,44/64,48/70,34/44,31/48,9/20,9/22,4/11,2/4,30/70,21/64,73/134,61/134,3,3,8,2
2019-08-04,fin,Hyeon Chung,Yuichi Sugita,"6-4, 6-3",Chengdu Challenger,33/47,45/72,28/33,28/45,10/14,13/27,3/11,0/1,31/72,9/47,69/119,50/119,1,1,8,5
2019-08-07,2nd round,Hyeon Chung,Matthew Christopher Romios,"6-3, 6-1",Yokkaichi Challenger,26/43,38/59,20/26,21/38,12/17,10/21,,,28/59,11/43,60/102,42/102,2,3,3,0
2019-08-08,3rd round,Hyeon Chung,Yusuke Takahashi,"3-6, 6-1, 6-4",Yokkaichi Challenger,55/75,40/74,42/55,29/40,12/20,17/34,3/3,1/5,28/74,21/75,82/149,67/149,2,2,7,1
2019-08-09,1/4,Yuichi Sugita,Hyeon Chung,- walk over,Yokkaichi Challenger,,,,,,,,,,,,,,,,
2019-08-14,2nd round,Hyeon Chung,Vasek Pospisil,"1-6, 7-68, 6-3",Vancouver Challenger,61/85,54/99,44/61,38/54,9/24,21/45,4/6,4/7,40/99,32/85,93/184,91/184,3,3,1,6
2019-08-15,3rd round,Maxime Janvier,Hyeon Chung,"6-4, 6-2",Vancouver Challenger,32/53,41/57,27/32,24/41,10/21,7/16,4/8,1/2,26/57,16/53,63/110,47/110,1,2,7,3
2019-08-19,q 1,Hyeon Chung,Sebastian Ofner,"6-3, 6-3",New York,29/49,44/73,23/29,24/44,9/20,10/29,5/17,2/4,39/73,17/49,71/122,51/122,2,2,2,6
2019-08-21,q 2,Hyeon Chung,Stefano Napolitano,"6-2, 6-3",New York,31/54,18/52,22/31,14/18,13/23,11/34,5/7,1/5,27/52,19/54,62/106,44/106,5,5,2,6
2019-08-23,qual.,Hyeon Chung,Mikael Ymer,"6-1, 6-3",New York,29/45,42/59,22/29,22/42,9/16,4/17,5/11,1/1,33/59,14/45,64/104,40/104,1,3,6,4
2019-08-27,1st round,Hyeon Chung,Ernesto Escobedo,"3-6, 6-4, 6-75, 6-4, 6-2",New York,103/155,83/156,78/103,58/83,26/52,42/73,6/13,3/15,56/156,51/155,160/311,151/311,4,4,17,19
2019-08-29,2nd round,Hyeon Chung,Fernando Verdasco,"1-6, 2-6, 7-5, 6-3, 7-63",New York,90/141,99/151,66/90,68/99,22/51,30/52,4/12,6/12,53/151,53/141,141/292,151/292,9,6,8,10
2019-08-31,3rd round,Rafael Nadal,Hyeon Chung,"6-3, 6-4, 6-2",New York,36/71,54/80,32/36,31/54,24/35,17/26,,,32/80,15/71,88/151,63/151,1,2,4,5
2019-09-25,1st round,Joao Sousa,Hyeon Chung,"1-6, 6-3, 6-4",Chengdu,35/68,52/80,26/35,38/52,16/33,10/28,4/10,4/8,32/80,26/68,74/148,74/148,1,4,7,3
2019-09-30,1st round,Hyeon Chung,Lorenzo Sonego,"3-6, 6-3, 6-4",Tokyo,52/76,56/90,39/52,40/56,16/24,17/34,2/4,1/1,33/90,21/76,88/166,78/166,1,1,2,8
2019-10-03,2nd round,Hyeon Chung,Marin Cilic,"6-4, 3-6, 6-1",Tokyo,41/66,59/103,37/41,42/59,13/25,19/44,3/11,1/2,42/103,16/66,92/169,77/169,1,7,11,8
2019-10-04,1/4,David Goffin,Hyeon Chung,"6-2, 6-2",Tokyo,30/39,31/42,27/30,17/31,6/9,5/11,,,20/42,6/39,53/81,28/81,0,0,8,6
2019-10-13,q 1,Cedrik-Marcel Stebe,Hyeon Chung,"3-6, 6-3, 6-3",Stockholm,55/82,51/101,37/55,36/51,12/27,20/50,5/17,3/6,45/101,33/82,94/183,89/183,2,10,4,3
2019-10-22,1st round,Hyeon Chung,Milos Raonic,"6-4, 7-5",Vienna,45/79,43/60,32/45,33/43,17/34,5/17,3/5,1/6,22/60,30/79,71/139,68/139,4,2,1,10
2019-10-24,2nd round,Andrey Rublev,Hyeon Chung,"6-4, 6-2",Vienna,28/45,31/52,25/28,20/31,12/17,10/21,3/5,0/1,22/52,8/45,59/97,38/97,1,2,4,4
2019-12-19,1st round,Karen Khachanov,Hyeon Chung,"7-64, 6-4",Mubadala World,,,,,,,,,,,,,,,,
2019-12-20,2nd round,Andrey Rublev,Hyeon Chung,"7-65, 7-61",Mubadala World,,,,,,,,,,,,,,,,
2020-03-02,1st round,Thai Kwiatkowski,Hyeon Chung,"7-62, 6-2",Indian Wells,34/60,30/60,32/34,22/30,16/26,16/30,2/2,0/2,22/60,12/60,70/120,50/120,1,4,7,2
2020-08-25,2nd round,Zdenek Kolar,Hyeon Chung,"6-3, 6-1",Prague II,31/61,18/41,20/31,9/18,12/30,4/23,7/11,3/5,28/41,29/61,60/102,42/102,2,10,5,1
2020-09-02,1st round,Lukas Rosol,Hyeon Chung,"2-6, 6-4, 6-0",Ostrava Challenger,46/88,32/72,34/46,26/32,14/42,10/40,6/10,4/14,36/72,40/88,84/160,76/160,6,13,5,2
2020-09-07,1st round,Jozef Kovalik,Hyeon Chung,"7-65, 6-2",Prostejov Challenger,24/69,24/64,18/24,11/24,19/45,15/40,5/9,3/7,38/64,32/69,75/133,58/133,4,10,1,0
2020-09-22,q 1,Hyeon Chung,Baptiste Crepatte,"7-67, 6-4",Paris,34/71,45/84,20/34,29/45,17/37,9/39,7/13,6/7,46/84,34/71,83/155,72/155,11,2,1,2
2020-09-23,q 2,Renzo Olivo,Hyeon Chung,"7-65, 6-2",Paris,49/75,36/77,27/49,20/36,12/26,12/41,7/12,5/7,45/77,36/75,84/152,68/152,4,11,1,0
2023-04-26,1st round,Jordan Thompson,Hyeon Chung,"6-2, 6-4",Seoul Challenger,26/53,35/61,22/26,22/35,16/27,8/26,4/8,1/2,31/61,15/53,69/114,45/114,1,6,4,2
2023-05-09,1st round,Yasutaka Uchiyama,Hyeon Chung,"6-3, 6-73, 6-2",Busan Challenger,57/91,55/99,45/57,36/55,18/34,23/44,4/13,1/6,40/99,28/91,103/190,87/190,1,7,7,4
2023-06-05,1st round,Andy Murray,Hyeon Chung,"6-3, 6-2",Surbiton Challenger,29/42,30/50,24/29,22/30,12/13,7/20,,,21/50,6/42,57/92,35/92,0,4,8,2
2023-06-13,1st round,Nuno Borges,Hyeon Chung,"6-3, 6-2",Nottingham Challenger,33/51,28/53,25/33,18/28,13/18,10/25,3/5,0/2,25/53,13/51,63/104,41/104,1,5,8,1
2023-06-17,q 1,Jesper De Jong,Hyeon Chung,"4-1,    - retired",Ilkley Challenger,12/24,15/21,7/12,5/15,6/12,3/6,2/5,1/3,13/21,11/24,26/45,19/45,2,1,1,0
2023-06-26,q 1,Hyeon Chung,Dimitar Kuzmanov,"6-2, 3-6, 6-3",London,43/68,61/81,36/43,37/61,12/25,10/20,4/9,2/3,34/81,20/68,82/149,67/149,5,5,3,3
2023-06-28,q 2,Enzo Couacaud,Hyeon Chung,"6-1, 2-0,    - retired",London,15/23,17/31,11/15,6/17,3/8,3/14,5/6,1/1,22/31,9/23,36/54,18/54,1,4,2,1
2024-09-03,1st round,Hiromasa Koyama,Hyeon Chung,"7-5, 6-1",M25 Sapporo,38/67,38/57,30/38,24/38,14/29,6/19,4/8,1/10,27/57,23/67,71/124,53/124,2,5,0,3
2024-09-18,1st round,Hyeon Chung,Yamato Sueoka,"6-1, 6-3",M25 Takasaki,30/49,23/46,19/30,13/23,11/19,7/23,5/7,1/2,26/46,19/49,56/95,39/95,2,4,1,1
2024-09-19,2nd round,Hyeon Chung,Hikaru Shiraishi,"6-3, 6-3",M25 Takasaki,35/60,30/51,21/35,17/30,14/25,7/21,5/9,2/6,27/51,25/60,62/111,49/111,2,2,2,0
2024-09-20,1/4,Goncalo Oliveira,Hyeon Chung,"6-1, 3-6, 6-0",M25 Takasaki,37/55,38/66,27/37,24/38,15/18,12/28,5/7,1/5,30/66,13/55,72/121,49/121,1,6,4,1
2024-10-21,1st round,Yasutaka Uchiyama,Hyeon Chung,"6-0, 6-3",Taipei 2,28/55,23/37,21/28,13/23,17/27,5/14,4/4,0/4,19/37,17/55,57/92,35/92,0,3,5,1
2024-10-29,1st round,Hyeon Chung,Yunseong Chung,"7-5, 6-3",Seoul Challenger,48/75,39/70,30/48,22/39,15/27,14/31,5/10,2/8,34/70,30/75,79/145,66/145,7,2,1,5
2024-10-31,2nd round,Li Tu,Hyeon Chung,"4-6, 6-3, 6-1",Seoul Challenger,53/76,50/96,39/53,35/50,13/23,21/46,4/10,1/2,40/96,24/76,92/172,80/172,2,11,7,3
