Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,serverName,returnerName,Position,pointEndPosition,Duration,isBreakPoint,clientTeam,opponentTeam
"Set 1: 0-0, 0-0 Borna Gojo Serving",1,1,1,Borna Gojo,Rudy Quan,0-0,0-0,0-0,,Borna Gojo,Rudy Quan,,,,False,UCLA,
"Set 1: 0-0, 15-0 Borna Gojo Serving",2,1,1,Borna Gojo,Rudy Quan,15-0,0-0,0-0,,Borna Gojo,Rudy Quan,,,,False,UCLA,
"Set 1: 0-0, 15-15 Borna Gojo Serving",3,1,1,Borna Gojo,Rudy Quan,15-15,0-0,0-0,,Borna Gojo,Rudy Quan,,,,False,UCLA,
"Set 1: 0-0, 30-15 Borna Gojo Serving",4,1,1,Borna Gojo,Rudy Quan,30-15,0-0,0-0,,Borna Gojo,Rudy Quan,,,,False,UCLA,
"Set 1: 0-0, 30-30 Borna Gojo Serving",5,1,1,Borna Gojo,Rudy Quan,30-30,0-0,0-0,,Borna Gojo,Rudy Quan,,,,False,UCLA,
"Set 1: 0-0, 30-40 Borna Gojo Serving",6,1,1,Borna Gojo,Rudy Quan,30-40,0-0,0-0,,Borna Gojo,Rudy Quan,,,,True,UCLA,
"Set 1: 1-0, 0-0 Rudy Quan Serving",7,1,2,Borna Gojo,Rudy Quan,0-0,1-0,0-0,,Rudy Quan,Borna Gojo,,,,False,UCLA,
"Set 1: 1-0, 15-0 Rudy Quan Serving",8,1,2,Borna Gojo,Rudy Quan,15-0,1-0,0-0,,Rudy Quan,Borna Gojo,,,,False,UCLA,
"Set 1: 1-0, 15-15 Rudy Quan Serving",9,1,2,Borna Gojo,Rudy Quan,15-15,1-0,0-0,,Rudy Quan,Borna Gojo,,,,False,UCLA,
"Set 1: 1-0, 30-15 Rudy Quan Serving",10,1,2,Borna Gojo,Rudy Quan,30-15,1-0,0-0,,Rudy Quan,Borna Gojo,,,,False,UCLA,
"Set 1: 1-0, 40-15 Rudy Quan Serving",11,1,2,Borna Gojo,Rudy Quan,40-15,1-0,0-0,,Rudy Quan,Borna Gojo,,,,False,UCLA,
"Set 1: 0-2, 0-0 Borna Gojo Serving",12,1,3,Borna Gojo,Rudy Quan,0-0,0-2,0-0,,Borna Gojo,Rudy Quan,,,,False,UCLA,
"Set 1: 0-2, 0-15 Borna Gojo Serving",13,1,3,Borna Gojo,Rudy Quan,0-15,0-2,0-0,,Borna Gojo,Rudy Quan,,,,False,UCLA,
"Set 1: 0-2, 0-30 Borna Gojo Serving",14,1,3,Borna Gojo,Rudy Quan,0-30,0-2,0-0,,Borna Gojo,Rudy Quan,,,,False,UCLA,
"Set 1: 0-2, 0-40 Borna Gojo Serving",15,1,3,Borna Gojo,Rudy Quan,0-40,0-2,0-0,,Borna Gojo,Rudy Quan,,,,True,UCLA,
"Set 1: 3-0, 0-0 Rudy Quan Serving",16,1,4,Borna Gojo,Rudy Quan,0-0,3-0,0-0,,Rudy Quan,Borna Gojo,,,,False,UCLA,
"Set 1: 3-0, 15-0 Rudy Quan Serving",17,1,4,Borna Gojo,Rudy Quan,15-0,3-0,0-0,,Rudy Quan,Borna Gojo,,,,False,UCLA,
"Set 1: 3-0, 30-0 Rudy Quan Serving",18,1,4,Borna Gojo,Rudy Quan,30-0,3-0,0-0,,Rudy Quan,Borna Gojo,,,,False,UCLA,
"Set 1: 3-0, 30-15 Rudy Quan Serving",19,1,4,Borna Gojo,Rudy Quan,30-15,3-0,0-0,,Rudy Quan,Borna Gojo,,,,False,UCLA,
"Set 1: 3-0, 30-30 Rudy Quan Serving",20,1,4,Borna Gojo,Rudy Quan,30-30,3-0,0-0,,Rudy Quan,Borna Gojo,,,,False,UCLA,
"Set 1: 3-0, 30-40 Rudy Quan Serving",21,1,4,Borna Gojo,Rudy Quan,30-40,3-0,0-0,,Rudy Quan,Borna Gojo,,,,True,UCLA,
"Set 1: 3-0, 40-40 Rudy Quan Serving",22,1,4,Borna Gojo,Rudy Quan,40-40,3-0,0-0,,Rudy Quan,Borna Gojo,,,,False,UCLA,
"Set 1: 3-0, A-40 Rudy Quan Serving",23,1,4,Borna Gojo,Rudy Quan,A-40,3-0,0-0,,Rudy Quan,Borna Gojo,,,,False,UCLA,
"Set 1: 0-4, 0-0 Borna Gojo Serving",24,1,5,Borna Gojo,Rudy Quan,0-0,0-4,0-0,,Borna Gojo,Rudy Quan,,,,False,UCLA,
"Set 1: 0-4, 15-0 Borna Gojo Serving",25,1,5,Borna Gojo,Rudy Quan,15-0,0-4,0-0,,Borna Gojo,Rudy Quan,,,,False,UCLA,
"Set 1: 0-4, 30-0 Borna Gojo Serving",26,1,5,Borna Gojo,Rudy Quan,30-0,0-4,0-0,,Borna Gojo,Rudy Quan,,,,False,UCLA,
